  ATCFID NAME            YEAR MMDDHH  FHOUR  VMAX0      NCI    VMAXN     OFDV     OBDV     DSDV     LGDV     HWDV     AVDV     VMXC     DV12     SLAT     SSTN     SHDC     DTL      D200     T200     RHMD     SPDX     SPDY     LON0     LAT0      NCT     LONN     LATN     OFDX     OBDX     AVDX     EMDX     EGDX     HWDX     LONC     OFDY     OBDY     AVDY     EMDY     EGDY     HWDY     LATC
AL062018 FLORENCE        2018 091206   24   115.00     4.00   125.00   -25.00   -13.75     6.25     3.25    -7.75    -1.75   113.75    -5.00    30.28    29.56     7.44   655.40    10.80   -51.70    50.00   -10.55     7.90   290.50    28.70     4.00   285.60    32.00    18.80    23.49    14.12    -4.71     4.71   -14.14   285.55    44.44    36.11     2.78    13.89     2.78   -19.44    32.08
AL062018 FLORENCE        2018 091212   24   115.00     4.00   125.00   -30.00   -19.75     3.25     0.25    -4.75     1.25   114.75    -5.00    31.02    29.40     7.18   533.40    20.60   -51.36    50.40    -9.27     7.40   289.30    29.40     4.00   284.90    32.60     0.00     9.32    28.04    -0.00    -9.34   -18.70   284.80    55.55    38.88    -5.55     5.55    16.67   -16.67    32.75
AL062018 FLORENCE        2018 091218   24   110.00     4.00   110.00   -20.00   -18.50     3.50     0.50     0.50    -4.50   108.50    -5.00    31.86    29.32     9.72   404.60    22.00   -50.92    49.00    -8.09     6.70   288.10    30.40     4.00   284.10    33.40    -9.27    -2.32    16.22     6.95   -11.59   -11.59   284.03    22.22    16.66     5.55    -5.55    -5.55     5.55    33.45
AL062018 FLORENCE        2018 091300   24   100.00     4.00    95.00    -5.00    -3.25     6.75     4.75   -11.25    -0.25    93.25   -15.00    32.84    29.36    10.52   261.00    33.60   -50.76    52.40    -7.33     6.10   286.80    31.50     4.00   283.30    33.90    18.43    32.23    13.80    13.82    -4.61   -23.01   283.15    11.11    -2.78    19.44   -13.89   -13.89     8.33    34.03
AL062018 FLORENCE        2018 091306   24    95.00     4.00    90.00    -5.00    -1.75     5.25     2.25   -10.75     3.25    86.75   -15.00    33.50    29.16    12.34   158.20    30.80   -50.72    54.40    -6.69     4.60   285.80    32.40     4.00   282.60    34.20    18.38    34.47    25.26    43.66   -39.11   -29.89   282.42     0.00     5.55    16.66     5.55   -16.67    -5.56    34.15
AL062018 FLORENCE        2018 091312   24    95.00     4.00    85.00    -5.00    -3.75    -0.75     8.25   -12.75     5.25    83.75    -5.00    33.76    29.16    10.92   105.20    36.60   -50.34    55.40    -5.50     2.90   284.90    33.10     4.00   282.20    34.20    -9.19    -4.60    32.18    41.37   -50.62   -23.00   282.15   -11.11    -2.78     8.33     8.33   -13.89    -2.78    34.12
AL062018 FLORENCE        2018 091318   24    90.00     4.00    75.00   -10.00    -0.75    -2.75    -3.75    -2.75     9.25    65.75    -5.00    34.02    29.30    11.92    45.60    29.00   -50.18    57.40    -5.06     1.90   284.00    33.60     4.00   281.80    34.20   -18.40   -23.02    32.17     4.60   -13.81   -23.00   281.85   -22.22    -8.33    25.00   -19.44    -8.33     2.78    34.07
AL062018 FLORENCE        2018 091400   24    85.00     4.00    65.00    -5.00     5.50    -2.50    -3.50     0.50     5.50    54.50   -10.00    34.20    29.32    10.28    17.20    14.80   -49.90    58.80    -4.22     0.80   283.50    34.00     4.00   281.50    34.00   -27.65   -25.34     2.30    20.73    11.50   -34.53   281.48   -11.11   -13.89     8.33   -13.89     8.33    -2.78    34.03
AL062018 FLORENCE        2018 091406   24    80.00     4.00    65.00   -10.00     6.00    -5.00    -5.00     3.00     7.00    49.00   -10.00    34.04    29.40     9.74     0.20     9.60   -50.36    59.00    -3.98    -0.20   282.80    34.20     4.00   280.90    33.90   -18.46   -11.54    34.57     6.92   -20.74   -20.77   280.82   -22.22   -19.44    13.89    -8.33    13.89   -19.44    33.88
AL062018 FLORENCE        2018 091412   24    75.00     4.00    55.00     0.00    10.75    -8.25    -8.25     7.75     8.75    44.25   -10.00    34.02    29.64    12.56   -35.00     7.20   -50.22    58.80    -3.98    -0.40   282.10    34.10     4.00   280.30    33.80    18.49    20.79    11.53    11.54   -16.13    -6.92   280.28   -22.22   -27.78     5.55   -16.67    16.66    -5.56    33.85
AL062018 FLORENCE        2018 091418   24    65.00     4.00    40.00    10.00    10.75    -6.25    -6.25     5.75     6.75    39.25   -15.00    33.94    29.70    14.12   -55.40     5.00   -50.10    59.40    -3.98     0.10   281.60    34.00     4.00   279.70    33.90    46.19    27.75     9.24     9.26     9.24   -27.77   279.90   -33.33    -5.56    16.66   -16.67    16.66   -16.67    33.65
AL062018 FLORENCE        2018 091500   24    55.00     4.00    35.00    10.00     9.75    -5.25    -5.25     7.75     2.75    35.25   -20.00    34.00    29.74    15.44   -86.60     4.00   -50.24    59.40    -4.14     0.90   281.20    33.90     4.00   279.50    33.80    27.73    32.35     4.61    23.12    -4.62   -23.08   279.45   -22.22   -19.44    13.89   -30.55    13.89     2.78    33.78
AL062018 FLORENCE        2018 091506   24    50.00     4.00    30.00    10.00     8.75    -1.25    -2.25     3.75    -0.25    31.25   -15.00    33.82    29.46    15.00   -99.80     7.60   -50.46    58.00    -4.15     1.20   280.70    33.70     4.00   278.70    33.90    46.19    46.18    -9.21     9.22    18.43   -18.45   278.70   -33.33   -36.11    19.44   -13.89     8.33   -13.89    33.92
AL062018 FLORENCE        2018 091512   24    45.00     4.00    25.00    10.00     5.00    -1.00    -1.00     5.00    -3.00    30.00   -10.00    33.92    29.48    12.62  -123.20     7.00   -50.60    56.60    -4.06     2.50   280.50    33.60     4.00   278.30    34.40    18.42    36.84   -18.30    27.53     9.16   -18.36   278.10   -88.88   -88.88    33.33   -22.22    11.11   -22.22    34.40
AL062018 FLORENCE        2018 091518   24    40.00     4.00    25.00     5.00     2.75     0.75     0.75     4.75    -6.25    27.25   -10.00    34.24    29.52    14.42  -173.00     5.40   -50.60    56.60    -3.97     4.10   280.20    33.60     4.00   277.40    35.10    45.73    59.44   -13.63    -4.55    22.68    -4.55   277.25  -111.10  -111.10    11.11   -11.11    33.33   -33.33    35.10
AL062018 FLORENCE        2018 091600   24    40.00     4.00    25.00     0.00    -1.75     1.25     1.25     3.25    -5.75    26.75    -5.00    34.62    29.56    15.18  -229.00     5.40   -50.70    57.60    -3.96     5.50   279.80    33.60     4.00   276.80    35.80    90.56    95.04    -4.50    -4.50    40.43   -31.56   276.75   -88.88   -97.21     2.78    -8.33    36.11   -30.55    35.88
AL062018 FLORENCE        2018 091606   24    30.00     4.00    25.00     0.00     3.50     5.50     5.50    -3.50    -7.50    21.50   -10.00    35.00    29.54    15.76  -303.00     6.60   -50.80    56.00    -3.79     6.60   279.20    33.60     4.00   276.40    36.70    89.25    95.90   -37.82    33.34    51.13   -46.81   276.33   -33.33   -41.66     2.78    13.89    13.89   -30.55    36.78
AL072018 GORDON          2018 090306   24    25.00     3.00    50.00     5.00    19.67    -2.33    -5.33     7.67     0.00    35.33     0.00    25.58    29.62    10.86   127.00    13.20   -54.98    65.80   -12.18     7.40   280.60    24.20     2.00   275.20    27.20    -9.88    -4.94     0.00     4.94     0.00    -4.93   275.15     0.00    -5.55     0.00   -27.77     0.00    27.77    27.25
AL072018 GORDON          2018 090312   24    40.00     4.00    50.00     5.00    -0.75    -2.75     0.25    13.25   -10.75    55.75    15.00    26.68    29.66    12.44    97.80    13.20   -54.90    64.40   -11.80     7.90   279.30    25.10     3.00   274.00    28.10   -19.60   -29.40    -9.81     0.00     0.00     9.79   274.10     0.00     0.00   -22.22     0.00     0.00    22.22    28.10
AL072018 GORDON          2018 090318   24    45.00     4.00    60.00     0.00     4.00     3.00     6.00     5.00   -14.00    56.00    15.00    27.38    29.50    14.04   128.40     9.40   -54.60    62.80   -11.28     7.90   278.10    25.80     4.00   272.80    28.90     0.00    17.02   -51.11    17.01     7.30    26.71   272.62     0.00    -0.00   -22.22    11.11   -22.22    33.33    28.90
AL072018 GORDON          2018 090400   24    50.00     4.00    65.00    -5.00     6.25     6.25     8.25    -9.75    -4.75    53.75    10.00    28.30    29.22    14.44   129.60    10.20   -54.24    64.40   -10.66     8.10   276.70    26.60     4.00   271.40    30.00    57.79    36.14   -12.03     7.23     7.24    -2.41   271.62   -22.22    -5.55    27.78     5.56   -27.77    -5.55    29.85
AL072018 GORDON          2018 090406   24    55.00     4.00    55.00   -10.00    -3.50     2.50     5.50    -6.50    -1.50    48.50    10.00    28.94    29.12    13.94   118.80     8.40   -54.14    65.40   -10.08     8.10   275.10    27.20     4.00   270.40    30.70    66.80    62.02    -4.76   -14.31    33.50   -14.33   270.45    22.22    16.67    50.00    16.67   -49.99   -16.66    30.75
AL072018 GORDON          2018 090412   24    55.00     4.00    35.00    -5.00    -7.50     4.50     5.50   -11.50     1.50    37.50     5.00    29.78    29.12    13.78    52.20    17.80   -53.96    65.60    -8.69     8.00   273.80    28.10     4.00   269.80    31.50    37.81    37.78    28.35   -18.91    28.42   -37.80   269.80    44.44    27.77    16.66     5.55   -38.89    16.66    31.65
AL072018 GORDON          2018 090418   24    55.00     4.00    30.00    -5.00    -7.50     1.50     1.50     1.50    -4.50    32.50     0.00    30.56    29.14    12.28   -24.60    26.80   -53.58    66.20    -7.68     7.70   272.80    28.90     4.00   269.30    32.20    28.16    28.15    18.76    -9.39    -9.41     0.00   269.30    33.33    27.77    38.88     5.55   -38.89    -5.55    32.25
AL072018 GORDON          2018 090500   24    60.00     4.00    25.00    -5.00   -10.75     1.25     1.25    -2.75     0.25    30.75     5.00    31.22    29.14    13.02  -100.40    29.40   -53.56    65.00    -6.51     7.10   272.00    29.80     4.00   269.10    32.70     0.00     7.00    16.31     7.01   -21.08    -2.34   269.03    33.33    25.00    47.22    -8.33   -52.77    13.89    32.78
AL072018 GORDON          2018 090506   24    45.00     4.00    25.00    -5.00    -4.50     4.50     3.50    -6.50    -1.50    24.50   -15.00    32.26    29.14    14.36  -216.00    31.60   -53.56    66.60    -5.76     6.30   271.10    30.90     4.00   268.40    33.40    18.54    23.19    -4.65    32.53   -13.92   -13.95   268.35    11.11    27.77     5.55    -5.55    16.67   -16.67    33.25
AL072018 GORDON          2018 090512   24    30.00     4.00    20.00    -5.00    -6.75     5.25     5.25    -6.75    -3.75    21.75   -30.00    33.12    29.26    12.14  -319.40    31.60   -53.60    69.40    -5.12     5.70   270.20    31.90     4.00   267.80    33.90    46.11    41.58     4.63    41.60   -32.37   -13.90   267.85     0.00    36.11   -19.44    25.00    13.89   -19.44    33.57
AL082018 HELENE          2018 090718   24    30.00     3.00    45.00     0.00     4.67     3.67    -1.33     0.00    -2.33    40.33     5.00    13.50    27.64    11.66   300.00    64.00   -53.02    71.20    -8.75     2.00   342.60    13.50     2.00   338.10    13.90    97.19    80.95    26.94   -26.93     0.00     0.00   338.25   -66.66   -88.88   -11.11    11.11     0.00     0.00    14.10
AL082018 HELENE          2018 090800   24    30.00     4.00    40.00    10.00    12.25     1.25     0.25     0.25    -1.75    37.75     5.00    13.94    27.72     6.56   293.20    35.00   -53.26    69.40    -9.80     2.30   342.00    13.60     3.00   337.70    14.30    10.79    -0.00    32.30   -21.53     0.00   -10.77   337.80  -122.21  -122.21     0.00     0.00     0.00     0.00    14.30
AL082018 HELENE          2018 090806   24    40.00     4.00    60.00    -5.00    -0.50     2.50     0.50     3.50    -6.50    55.50    10.00    14.14    27.60     9.30   411.20     8.20   -53.38    70.20   -11.44     2.20   341.10    13.70     4.00   336.50    14.10    10.80    16.20   -26.94    59.28    37.73   -70.05   336.45  -111.10  -105.54    16.67    -5.55   -16.66     5.56    14.05
AL082018 HELENE          2018 090812   24    40.00     4.00    60.00     0.00     4.25     4.25    -0.75    -1.75    -1.75    55.75     5.00    13.76    27.64     8.32   543.20    13.00   -53.56    70.60   -11.85     1.50   340.10    13.50     4.00   335.10    13.90    43.20    21.60     0.00    10.78    53.92   -64.68   335.30   -77.77   -83.32    -5.56     5.56    -5.56     5.56    13.95
AL082018 HELENE          2018 090818   24    45.00     4.00    65.00     0.00     0.25    -0.75    -4.75     3.25     2.25    64.75     5.00    13.80    27.56     6.70   675.60    27.60   -53.08    71.40   -12.52     1.80   339.00    13.30     4.00   333.80    14.10    64.75    51.26     8.08     8.08    18.86   -35.01   333.92   -77.77   -77.77     0.00   -11.11     0.00    11.11    14.10
AL082018 HELENE          2018 090900   24    50.00     4.00    70.00     5.00     4.00     2.00    -1.00    -2.00     1.00    71.00    10.00    13.58    27.46     7.62   804.60    29.60   -53.18    71.60   -12.73     1.80   337.80    13.20     4.00   332.60    13.80    75.54    80.93    37.77    -5.39     5.39   -37.76   332.55   -11.11   -13.89   -13.89    -2.78    19.44    -2.78    13.82
AL082018 HELENE          2018 090906   24    55.00     4.00    75.00     5.00     5.75     3.75     1.75    -5.25    -0.25    74.25    10.00    13.50    27.42     8.94   933.00    45.00   -53.20    72.20   -12.73     2.10   336.60    13.10     4.00   331.10    14.00    97.02    97.01    21.55   -10.78     0.00   -10.78   331.10     0.00    -5.55    16.67   -27.77     5.56     5.56    14.05
AL082018 HELENE          2018 090912   24    55.00     4.00    75.00    10.00    14.50     0.50    -0.50    -6.50     6.50    70.50     5.00    13.74    27.46    10.74  1056.60    40.40   -53.10    70.40   -13.40     2.60   335.50    13.20     4.00   330.00    14.30    64.58    59.20    16.15   -26.93   -16.15    26.92   330.05    11.11    13.89     2.78   -19.44    13.89     2.78    14.28
AL082018 HELENE          2018 090918   24    65.00     4.00    85.00     5.00     6.50    -1.50    -2.50     0.50     3.50    83.50    10.00    13.90    27.46     9.00  1168.40    45.40   -52.98    68.60   -13.20     3.00   334.40    13.40     4.00   329.20    14.50     0.00   -10.75   -10.75     0.00    10.75     0.00   329.30    33.33    30.55    -2.78   -13.89     8.33     8.33    14.52
AL082018 HELENE          2018 091000   24    75.00     4.00    90.00     5.00     9.50     1.50     4.50    -8.50     2.50    85.50    20.00    14.34    27.28     8.64  1260.80    50.60   -53.08    68.40   -12.21     3.30   333.30    13.70     4.00   328.20    15.10   -32.17   -32.16   -32.17     0.00    21.44    10.72   328.20    22.22    19.44     8.33   -25.00     8.33     8.33    15.12
AL082018 HELENE          2018 091006   24    75.00     4.00    85.00    10.00    15.50     5.50     4.50   -10.50     0.50    79.50    10.00    14.82    27.22     4.28  1426.60    48.00   -53.00    69.20   -12.08     3.40   332.00    14.00     4.00   326.60    15.50    21.40    18.72   -13.38   -13.38    29.40    -2.67   326.62    22.22     8.33   -13.89   -13.89    30.55    -2.78    15.62
AL082018 HELENE          2018 091012   24    90.00     4.00   100.00    -5.00     6.50     3.50     1.50    -8.50     3.50    88.50    15.00    15.14    26.96     4.76  1547.80    59.40   -52.96    70.20   -11.68     3.80   330.60    14.40     4.00   325.70    15.90    32.03    18.68    -2.67   -24.04    18.67     8.01   325.83    33.33    22.22   -11.11   -22.22    33.33     0.00    16.00
AL082018 HELENE          2018 091018   24    90.00     4.00   100.00   -10.00     2.75     6.75     0.75    -9.25     1.75    87.25    15.00    15.50    26.58     4.30  1687.80    69.20   -52.76    70.80   -10.89     4.20   329.20    14.80     4.00   324.70    16.40    74.53    63.86   -21.29   -10.66    53.23   -21.30   324.80    44.44    30.55    19.44   -47.22    19.44     8.33    16.53
AL082018 HELENE          2018 091100   24    90.00     4.00    85.00     0.00    -0.25     0.75    -5.25    -2.25     6.75    85.25     0.00    16.24    26.10     5.74  1772.40    73.00   -52.74    70.20    -9.51     5.00   327.90    15.30     4.00   324.30    17.20    42.41    31.79    -0.00   -31.86    53.00   -21.21   324.40    44.44    30.55    19.44   -47.22    19.44     8.33    17.33
AL082018 HELENE          2018 091106   24    95.00     4.00    85.00    -5.00    -1.00    -1.00    -5.00    -1.00     7.00    81.00     5.00    16.76    25.36     9.88  1886.20    57.40   -52.74    67.60    -8.43     5.50   326.80    15.70     4.00   323.50    18.00    73.82    60.61   -13.19   -23.77    81.78   -44.87   323.62    77.77    61.11    16.66   -27.77    16.66    -5.55    18.15
AL082018 HELENE          2018 091112   24    95.00     4.00    80.00     0.00     2.25    -3.75    -5.75    -0.75    10.25    77.75     5.00    17.44    25.12    11.62  1943.60    50.40   -52.70    65.60    -6.87     6.40   326.00    16.20     4.00   323.10    18.90    62.90    49.77    -2.62   -44.68    70.83   -23.62   323.23    99.99    80.55     2.78   -41.66    25.00    13.89    19.08
AL082018 HELENE          2018 091118   24    90.00     4.00    70.00     5.00     2.00    -4.00    -6.00    -2.00    12.00    73.00    -5.00    18.26    25.04    15.88  1987.80    60.40   -52.46    60.40    -6.08     7.40   325.40    16.80     4.00   322.80    20.20    52.03    39.03   -13.04   -23.48    70.38   -33.91   322.92    66.66    74.99     8.33   -13.89    19.44   -13.89    20.12
AL082018 HELENE          2018 091200   24    85.00     4.00    65.00     5.00     3.50    -3.50    -4.50    -3.50    11.50    66.50   -10.00    19.40    25.00    19.12  2027.80    72.40   -52.66    55.40    -4.82     9.30   324.70    17.60     4.00   322.70    21.20    20.66    23.24     2.59   -28.48    43.99   -18.11   322.67    77.77    66.66    11.11   -22.22     0.00    11.11    21.30
AL082018 HELENE          2018 091206   24    80.00     4.00    65.00     0.00     4.75    -1.25    -2.25    -5.25     8.75    60.25   -10.00    20.62    24.92    21.24  2032.00    68.80   -52.66    51.40    -3.75    10.40   324.20    18.70     4.00   322.80    22.90   -10.23    -7.68     2.56    -7.67    23.05   -17.92   322.77     0.00     8.33    -2.78    19.44   -13.89    -2.78    22.83
AL082018 HELENE          2018 091212   24    80.00     4.00    65.00    -5.00    -0.25    -3.25    -1.25    -2.25     6.75    60.25    -5.00    22.02    24.92    25.68  2068.60    67.40   -52.64    47.20    -2.52    11.70   323.70    19.80     4.00   322.50    24.50    10.13     7.60    17.70    -2.53     7.61   -22.76   322.53   -44.44   -27.77    16.67    27.78   -61.10    16.67    24.35
AL082018 HELENE          2018 091218   24    80.00     4.00    60.00     0.00    -1.75    -3.75    -0.75    -4.75     9.25    61.75     0.00    23.30    25.02    30.64  2075.80    61.20   -52.52    45.60    -1.22    13.00   323.30    20.80     4.00   322.80    26.00   -20.02   -27.55     2.50   -27.48    42.55   -17.50   322.88   -66.66   -44.44     0.00    22.22   -22.22     0.00    25.80
AL082018 HELENE          2018 091300   24    70.00     4.00    55.00     5.00     4.00    -7.00    -3.00    -1.00    11.00    56.00   -10.00    24.62    25.24    33.36  2074.60    56.40   -52.78    44.60     0.06    13.80   322.90    21.90     4.00   323.00    27.30   -39.51   -51.82     7.38   -22.17    27.17   -12.33   323.12   -11.11   -25.00    41.66    19.44   -47.22   -13.89    27.42
AL082018 HELENE          2018 091306   24    65.00     4.00    55.00     5.00     6.00    -8.00    -5.00     1.00    12.00    54.00   -10.00    25.76    25.76    38.30  2121.40    51.40   -52.96    43.00     0.60    14.60   322.70    22.90     4.00   323.10    29.10   -38.77   -41.19    -2.42   -12.10    17.00    -2.43   323.12    33.33    27.77    27.77    61.11   -27.77   -61.10    29.15
AL082018 HELENE          2018 091312   24    60.00     4.00    50.00    10.00     4.50    -9.50    -9.50     4.50    14.50    55.50   -10.00    27.20    26.16    39.80  2125.00    49.60   -53.04    43.80     1.84    15.80   322.60    24.10     4.00   323.40    30.80   -56.96   -59.30    -2.38   -11.90    26.30   -11.91   323.42   111.10    99.99    33.33    22.22   -66.66    11.11    30.90
AL082018 HELENE          2018 091318   24    55.00     4.00    50.00    10.00     8.25    -8.75   -10.75     6.25    13.25    51.75   -10.00    28.80    26.42    43.24  2126.80    50.20   -53.24    44.00     2.85    16.40   322.60    25.40     4.00   324.20    32.30  -111.81  -118.77    21.11   -35.17    21.19    -7.02   324.28   155.54   149.98     5.55    16.66   -72.22    49.99    32.35
AL082018 HELENE          2018 091400   24    55.00     4.00    50.00    10.00     3.50    -9.50   -11.50    10.50    10.50    56.50    -5.00    30.98    26.72    45.48  2113.00    55.40   -53.58    46.80     4.41    16.40   322.60    27.20     4.00   325.30    34.80  -163.81  -143.51    11.41   -16.01    38.98   -34.25   325.08    44.44    66.66    33.33     0.00   -55.55    22.22    34.60
AL082018 HELENE          2018 091406   24    55.00     4.00    55.00     5.00     0.25    -8.75   -11.75    12.25     8.25    59.75     0.00    33.18    26.78    45.68  2079.40    53.40   -53.92    49.40     5.97    16.90   322.70    29.40     4.00   326.20    36.70  -169.03  -149.06   -15.60    20.08    29.00   -33.37   325.98    22.22    27.77     5.55   -16.67   -16.67    27.77    36.65
AL082018 HELENE          2018 091412   24    55.00     4.00    55.00     0.00    -2.75    -1.75    -3.75     6.25    -0.75    57.75     0.00    35.34    26.32    43.16  1993.00    46.00   -54.82    52.00     7.19    16.20   322.80    31.80     4.00   326.60    38.40   -95.78   -78.36  -104.48    61.03    69.65   -26.09   326.40     0.00     0.00     0.00   -22.22     0.00    22.22    38.40
AL082018 HELENE          2018 091418   24    60.00     4.00    55.00     0.00    -7.50    -0.50    -0.50    -4.50     5.50    62.50     5.00    36.32    26.12    39.90  1901.60    50.20   -54.94    51.20     8.70    14.60   323.00    33.70     4.00   326.30    38.90    68.83    66.66   -71.37    32.42    49.67   -10.80   326.33    77.77    74.99   -13.89    -2.78     8.33     8.33    38.92
AL082018 HELENE          2018 091500   24    60.00     4.00    55.00    -5.00   -11.00    -2.00    -4.00     0.00     6.00    61.00     0.00    37.76    25.64    37.50  1862.60    45.20   -55.08    48.00     9.49    13.20   323.50    35.20     4.00   328.80    40.30   -25.36   -10.58    -2.12     6.37    40.31   -44.55   328.62    33.33    44.44     0.00     0.00     0.00     0.00    40.20
AL082018 HELENE          2018 091506   24    60.00     4.00    55.00   -10.00   -14.75    -2.75    -4.75    -2.75    10.25    59.75     0.00    39.42    24.26    31.80  1785.40    32.00   -55.44    46.60    12.59    12.80   324.30    36.90     4.00   330.80    41.80   -33.13   -35.22    -2.08   -10.37     6.19     6.23   330.83     0.00     8.33   -13.89   -13.89    52.77   -25.00    41.72
AL092018 ISAAC           2018 090800   24    30.00     4.00    35.00    10.00    10.50     3.50     0.50    -1.50    -2.50    34.50     0.00    14.08    26.76    10.30  1925.40    43.20   -53.80    61.40    -4.56     0.70   325.10    13.90     4.00   323.30    14.20   -32.30   -34.98   -45.77    18.83    18.84     8.06   323.33    22.22     2.78   -30.55     2.78   -19.44    47.22    14.38
AL092018 ISAAC           2018 090806   24    30.00     4.00    40.00    10.00    15.50     3.50     1.50    -2.50    -2.50    34.50     0.00    14.34    26.74     8.22  1933.80    35.40   -53.78    60.40    -5.52     0.80   324.80    14.20     4.00   322.50    14.50   -21.52   -26.89    26.90    -5.37     5.38   -26.85   322.55   -22.22   -36.11   -47.22    30.55   -36.11    52.77    14.62
AL092018 ISAAC           2018 090812   24    30.00     4.00    40.00    15.00    18.25     4.25     1.25    -0.75    -4.75    36.75     0.00    14.68    26.66     4.76  1926.20    37.00   -53.72    57.60    -6.96     0.90   324.20    14.40     4.00   321.50    14.80   -21.51   -18.82    34.91   -29.51    13.44   -18.78   321.47   -55.55   -61.11   -16.67    27.77   -38.89    27.77    14.85
AL092018 ISAAC           2018 090818   24    35.00     4.00    50.00    10.00    16.00     6.00     5.00    -6.00    -5.00    44.00     5.00    14.62    26.78     5.50  1870.60    23.60   -53.40    54.80    -8.32     0.60   323.70    14.50     4.00   320.50    14.70   -32.26   -21.51    42.98    10.75   -21.51   -32.22   320.40   -33.33   -33.33     0.00     0.00   -33.33    33.33    14.70
AL092018 ISAAC           2018 090900   24    45.00     4.00    60.00     5.00     7.25     4.25     8.25    -2.75    -9.75    57.75    15.00    14.48    26.84     5.82  1784.60    24.60   -53.56    54.00    -9.10     0.20   323.00    14.40     4.00   319.10    14.50   -10.76   -10.75    32.25    21.51   -10.76   -42.98   319.10     0.00    -8.33    13.89     2.78   -41.66    25.00    14.57
AL092018 ISAAC           2018 090906   24    45.00     4.00    60.00     5.00     8.75     5.75     6.75    -3.25    -9.25    56.25    10.00    14.54    26.92     3.82  1720.40    11.60   -53.54    52.20   -10.26     0.20   322.30    14.30     4.00   318.10    14.70   -32.26   -29.58    24.19   -29.56    13.45    -8.06   318.08   -22.22   -11.11     0.00    22.22   -33.33    11.11    14.60
AL092018 ISAAC           2018 090912   24    55.00     4.00    75.00   -10.00    -0.25     0.75     3.75     2.75    -7.25    65.25    10.00    14.38    27.00     5.20  1626.40     4.20   -53.40    51.40   -11.04     0.20   321.30    14.30     4.00   316.70    14.40   -21.52   -26.90    -5.38   -37.66    26.92    16.14   316.75     0.00     0.00    11.11    11.11   -33.33    11.11    14.40
AL092018 ISAAC           2018 090918   24    60.00     4.00    80.00   -15.00    -1.25     3.75     6.75    -4.25    -6.25    66.25    15.00    14.40    27.00     5.80  1521.60    -4.20   -53.26    47.80   -12.20     0.10   320.20    14.40     4.00   315.00    14.80    21.50     8.06   -24.14   -45.64    51.07    18.80   315.12   -44.44   -47.22    41.66     8.33   -47.22    -2.78    14.82
AL092018 ISAAC           2018 091000   24    65.00     4.00    80.00   -20.00    -9.50     4.50     6.50    -7.50    -3.50    69.50    10.00    14.78    27.00     5.42  1456.80     6.40   -53.34    47.40   -13.05     0.80   319.00    14.50     4.00   313.70    14.90    10.74   -18.80   -18.77   -72.42    56.41    34.88   313.97   -44.44   -52.77    36.11    13.89   -52.77     2.78    14.98
AL092018 ISAAC           2018 091006   24    65.00     4.00    75.00   -15.00   -11.75     1.25     1.25    -0.75    -1.75    71.75     5.00    14.78    27.12     5.90  1382.80    14.40   -53.14    48.00   -13.15     0.80   317.80    14.50     4.00   312.60    15.00   -21.48   -56.40   -13.43   -56.30    61.78     8.05   312.92   -44.44   -33.33   -22.22    55.55   -33.33     0.00    14.90
AL092018 ISAAC           2018 091012   24    65.00     4.00    75.00   -15.00    -5.25     3.75     3.75    -6.25    -1.25    65.25     0.00    14.88    27.10     8.58  1319.40    22.00   -53.04    48.40   -13.05     0.70   316.50    14.40     4.00   311.30    15.00   -42.96   -64.46   -21.49   -85.76   107.41     0.00   311.50   -44.44   -36.11   -36.11    63.88   -25.00    -2.78    14.92
AL092018 ISAAC           2018 091018   24    65.00     4.00    75.00   -15.00    -4.75     5.25     5.25    -6.75    -3.75    64.75     0.00    14.52    27.24     7.64  1222.60    20.80   -52.80    48.00   -12.78     0.50   315.20    14.40     4.00   310.20    14.60   -75.26   -88.71   -34.96   -45.67   137.19   -56.45   310.33     0.00     5.56   -16.66    38.89   -27.77     5.56    14.55
AL092018 ISAAC           2018 091100   24    60.00     4.00    65.00   -10.00    -1.50     3.50     3.50    -6.50    -0.50    56.50    -5.00    14.62    27.38    10.50  1140.80    23.80   -53.02    49.60   -12.87     0.50   313.80    14.50     4.00   308.30    14.60     0.00   -40.32   -61.79   -61.75   163.92   -40.32   308.67   -11.11   -22.22    -0.00    33.33   -11.11   -22.22    14.70
AL092018 ISAAC           2018 091106   24    60.00     4.00    65.00   -10.00    -2.25     0.75     0.75    -6.25     4.75    57.25    -5.00    14.72    27.82    12.94  1089.40    29.60   -52.86    49.20   -12.96     0.60   312.40    14.60     4.00   307.40    14.60   -32.25   -69.89     5.38   -69.88   134.47   -69.91   307.75     0.00     8.33    -2.78    19.44   -13.89    -2.78    14.52
AL092018 ISAAC           2018 091112   24    60.00     4.00    65.00   -10.00    -3.25    -0.25     1.75    -4.25     2.75    58.25     0.00    14.64    27.96    17.54  1018.00    19.60   -53.12    48.80   -12.29     0.40   310.90    14.60     4.00   305.60    14.70    21.48   -40.29   -72.59   -61.79   185.42   -51.09   306.17    22.22    33.33   -11.11    22.22    11.11   -22.22    14.60
AL092018 ISAAC           2018 091118   24    60.00     4.00    60.00   -10.00    -5.50    -0.50     0.50    -4.50     4.50    55.50     0.00    14.72    28.22    22.20   906.60    17.00   -52.96    49.40   -13.25     0.50   309.50    14.60     4.00   303.80    14.80    53.66    13.42     2.69   -93.95   120.90   -29.54   304.17    44.44    47.22    -8.33    25.00   -19.44     2.78    14.78
